ret_1d,ret_5d,ret_10d,ret_20d,ret_intraday,ret_overnight,high_low_range,log_volume,close_vs_ma5,close_vs_ma20,close_vs_ma50,momentum_5_20,vol_5d,vol_20d,vol_50d,rsi_14,bn_ret_1d,bn_ret_5d,nifty_bn_spread,nifty_bn_corr_20d,vix_level,vix_change,vix_5d_change,vix_ma_ratio,ret_zscore,volume_normalized
0.0101868742352642,0.0214233522207341,0.0387162167103742,-0.0027714990916805,0.0137198346345254,0.0031602248049113,0.0149412290602832,12.20856952572876,0.0016723567683309,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0084631612683559,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0114834760938591,0.052880274851818,-0.0012966018585949,0.7362562301999062,16.450000762939453,-0.0200607847052213,0.0747720051787121,1.1922220663067558,1.1449721316705,0.1803011803011803
0.0101868742352642,0.0214233522207341,0.0387162167103742,-0.0027714990916805,0.0070045135927506,0.0031602248049113,0.0131449335519018,12.418761738940525,0.0016723567683309,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0084631612683559,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0114834760938591,0.052880274851818,-0.0012966018585949,0.7362562301999062,16.1200008392334,-0.0200607847052213,0.0747720051787121,1.1922220663067558,1.1449721316705,0.228021978021978
0.006739585234692,0.0214233522207341,0.0387162167103742,-0.0027714990916805,0.005900662338031,0.0008340017340391,0.0109259067167821,12.435198268521932,0.0016723567683309,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0084631612683559,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0232287337672321,0.052880274851818,-0.01648914853254,0.7362562301999062,17.229999542236328,0.0688584767502851,0.0747720051787121,1.1922220663067558,0.7402122206783603,0.2321937321937321
-0.0100054174627969,0.0214233522207341,0.0387162167103742,-0.0027714990916805,-0.0012718917958747,-0.0087446479128603,0.0080243005069062,12.373703486914124,0.0016723567683309,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0084631612683559,0.0104728463716971,0.0145470801157303,54.11265792738583,-0.0054554592415662,0.052880274851818,-0.0045499582212307,0.7362562301999062,17.979999542236328,0.0435287301175781,0.0747720051787121,1.1922220663067558,-1.2258851388043954,0.2169312169312169
0.0037641836511315,0.0214233522207341,0.0387162167103742,-0.0027714990916805,0.0008484070721001,0.0029133049105421,0.0112531636159332,12.385473273896464,0.0016723567683309,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0084631612683559,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0066511042871146,0.052880274851818,-0.0028869206359831,0.7362562301999062,17.600000381469727,-0.0211345478554633,0.0747720051787121,1.1922220663067558,0.3908584879544784,0.2197802197802197
0.0107003189218717,0.0214233522207341,0.0387162167103742,-0.0027714990916805,0.0050241996770468,0.0056477438519876,0.0076818595548342,12.356215303959893,0.0081093521112354,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0084631612683559,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0161182643646253,0.052880274851818,-0.0054179454427536,0.7362562301999062,17.68000030517578,0.0045454501120512,0.0747720051787121,1.1922220663067558,1.2052577142300582,0.2127594627594627
0.0029133112526023,0.0140688841774194,0.0387162167103742,-0.0027714990916805,0.0032226250503535,-0.0003083201973596,0.0064716009789125,12.302291503270716,0.0082178442530329,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0077918879108761,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0024590860279787,0.0434865452284458,0.0004542252246235,0.7362562301999062,17.760000228881836,0.0045248824844552,0.1017369295451247,1.1922220663067558,0.2909541758306051,0.2003459503459503
0.0086731157318304,0.0160164912274585,0.0387162167103742,-0.0027714990916805,0.0023086568181317,0.0063497994060063,0.0054440223050057,12.409013489526863,0.013711989834966,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0080776374867667,0.0104728463716971,0.0145470801157303,54.11265792738583,0.0074228729963197,0.0273677611228841,0.0012502427355107,0.7362562301999062,17.18000030517578,-0.0326576529409522,-0.0029018710614577,1.1922220663067558,0.9672357257550868,0.2255799755799755
0.0024956237305924,0.0288461210396195,0.0387162167103742,-0.0027714990916805,4.386160102974202e-05,0.0024516545960668,0.0059398840007813,12.62379565103384,0.0104835465219335,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0037290487869201,0.0104728463716971,0.0145470801157303,54.11265792738583,-0.0066516357813342,0.0261321068477804,0.0091472595119266,0.7362562301999062,16.700000762939453,-0.0279394373521472,-0.0711901452661366,1.1922220663067558,0.2419118227806612,0.2853072853072853
-0.0001123235637506,0.024872748133738,0.0387162167103742,-0.0027714990916805,0.0038905691503986,-0.0039873795383266,0.0091641717335633,12.343658308482738,0.0054392145587007,-0.0242407294685035,-0.0359985653044572,0.0277144995840306,0.0045476824790069,0.0104728463716971,0.0145470801157303,54.11265792738583,-0.0025877544231713,0.0167144550785822,0.0024754308594207,0.7362562301999062,16.559999465942383,-0.0083833108144378,-0.0590909598287461,1.1922220663067558,-0.0642976405266849,0.2098087098087098
