fold,row_index,date,actual,predicted,prob_up,next_day_return,signal,position_change,transaction_cost,strategy_return,equity_curve,buy_hold_curve,benchmark_return,drawdown
1,104,2022-06-06,0,1,0.6034137239579964,-0.009245946006475991,1,0.0,0.0,-0.009245946006475991,0.9606454126647468,0.9843352756920044,-0.009245946006475991,-0.03935458733525321
1,105,2022-06-07,0,1,0.7292404337046633,-0.0036609606157923524,1,0.0,0.0,-0.0036609606157923524,0.9571285276432395,0.9807316630149608,-0.0036609606157923524,-0.042871472356760476
1,106,2022-06-08,1,1,0.8700793144643302,0.00744972774168895,1,0.0,0.0,0.00744972774168895,0.9642588745879853,0.9880378468920762,0.00744972774168895,-0.035741125412014685
1,107,2022-06-09,0,1,0.610128458670926,-0.016767698414100085,1,0.0,0.0,-0.016767698414100085,0.9480904725857744,0.971470726253673,-0.016767698414100085,-0.05190952741422561
1,108,2022-06-10,0,1,0.8925364493898571,-0.026379749115209128,1,0.0,0.0,-0.026379749115209128,0.9230800837804416,0.9458435722223312,-0.026379749115209128,-0.0769199162195584
1,109,2022-06-13,0,1,0.9706697368493342,-0.00268160945598539,1,0.0,0.0,-0.00268160945598539,0.9206047434991442,0.9433071891551768,-0.00268160945598539,-0.07939525650085577
1,110,2022-06-14,0,1,0.906724671206393,-0.0025393443813560568,1,0.0,0.0,-0.0025393443813560568,0.9182670110162899,0.9409118073445027,-0.0025393443813560568,-0.08173298898371006
1,111,2022-06-15,0,1,0.9191725652792044,-0.021128447854290244,1,0.0,0.0,-0.021128447854290244,0.8988654543577173,0.9210318012875385,-0.021128447854290244,-0.10113454564228275
1,112,2022-06-16,0,1,0.9931224809820572,-0.00436829362663993,1,0.0,0.0,-0.00436829362663993,0.8949389461222397,0.9170084639400414,-0.00436829362663993,-0.10506105387776032
1,113,2022-06-17,1,1,0.8648226908481568,0.0037042135956451006,1,0.0,0.0,0.0037042135956451006,0.8982539911337379,0.9204052591594898,0.0037042135956451006,-0.10174600886626206
1,114,2022-06-20,1,1,0.7902259696700568,0.018804337854487096,1,0.0,0.0,0.018804337854487096,0.9151450626621582,0.9377128706157716,0.018804337854487096,-0.08485493733784177
1,115,2022-06-21,0,0,0.4256008138858843,-0.014419265085317434,0,1.0,0.001,-0.001,0.9142299175994961,0.9241917401604488,-0.014419265085317434,-0.08577008240050388
1,116,2022-06-22,1,1,0.7699321861952447,0.009300447519609234,1,1.0,0.001,0.008300447519609233,0.9218184350513873,0.9327871369378674,0.009300447519609234,-0.07818156494861273
1,117,2022-06-23,1,0,0.4824824111198316,0.009166472588529428,0,1.0,0.001,-0.001,0.9208966166163359,0.9413375046595412,0.009166472588529428,-0.07910338338366407
1,118,2022-06-24,1,0,0.3443983311597531,0.008458990377725017,0,0.0,0.0,0.0,0.9208966166163359,0.949300269553648,0.008458990377725017,-0.07910338338366407
1,119,2022-06-27,1,0,0.1333716821491104,0.0011464333961117568,0,0.0,0.0,0.0,0.9208966166163359,0.9503885790856021,0.0011464333961117568,-0.07910338338366407
1,120,2022-06-28,0,0,0.0386832124953392,-0.0032239710103227903,0,0.0,0.0,-0.0,0.9208966166163359,0.9473245538580883,-0.0032239710103227903,-0.07910338338366407
1,121,2022-06-29,0,0,0.0185562126058429,-0.001193081241402827,0,0.0,0.0,-0.0,0.9208966166163359,0.9461943187033599,-0.001193081241402827,-0.07910338338366407
1,122,2022-06-30,0,0,0.0827997110946616,-0.0017870563085186086,0,0.0,0.0,-0.0,0.9208966166163359,0.9445034161770366,-0.0017870563085186086,-0.07910338338366407
1,123,2022-07-01,1,0,0.1016797041724987,0.005288188249805481,0,0.0,0.0,0.0,0.9208966166163359,0.9494981280443652,0.005288188249805481,-0.07910338338366407
2,124,2022-07-04,0,0,0.4187601153239826,-0.0015471713984448465,0,0.0,0.0,-0.0,0.9208966166163359,0.948029091697778,-0.0015471713984448465,-0.07910338338366407
2,125,2022-07-05,1,1,0.5506317259015813,0.011318189707300252,1,1.0,0.001,0.010318189707300252,0.9303986026073944,0.9587590648056531,0.011318189707300252,-0.06960139739260562
2,126,2022-07-06,1,0,0.2767721512985924,0.00894949203151052,0,1.0,0.001,-0.001,0.929468204004787,0.9673394714162697,0.00894949203151052,-0.07053179599521298
2,127,2022-07-07,1,1,0.5509562531882983,0.005436047866567373,1,1.0,0.001,0.004436047866567373,0.9335913694482048,0.9725979750861086,0.005436047866567373,-0.06640863055179524
